dwd_ord_bike_ride_info_openlock_time,dwd_ord_bike_ride_info_ride_time,dwd_ord_bike_ride_info_no_discount_cost,dwd_ord_bike_ride_info_discount_type,dwd_ord_bike_ride_info_ride_distance,dwd_ord_bike_ride_info_is_in_insurance,dwd_ord_bike_ride_info_create_channel,dwd_ord_bike_ride_info_end_channel,dwd_ord_bike_ride_info_account_type,dwd_ord_bike_ride_info_system_code,dwd_ord_bike_ride_info_lock_out_service_area,dwd_ord_bike_ride_info_out_of_sa_penalty,dwd_ord_bike_ride_info_penalty_operate_money,dwd_ord_bike_ride_info_in_forbidden_penalty,dwd_ord_bike_ride_info_in_forbidden_creditscore,dwd_ord_bike_ride_info_in_forbidden_operate_money,dwd_ord_bike_ride_info_open_lock_error_type,dwd_ord_bike_ride_info_in_forbidden_type,dwd_ord_bike_ride_info_ride_status,dwd_ord_bike_ride_info_start_type,dwd_ord_bike_ride_info_end_type,dwd_ord_bike_ride_info_start_over_region,dwd_ord_bike_ride_info_end_over_region,dwd_ord_bike_ride_info_start_over_bigregion,dwd_ord_bike_ride_info_end_over_bigregion,dwd_ord_bike_ride_info_pay_status,lable
2238,240,16,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
3828,240,12,5,28800,1,3,4,0,62,0,-1,9,-1,-1,1,-10,0,1,3,3,1,1,1,1,2,1
3194,240,16,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
955,196,14,5,23410,1,0,3,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1891,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
16673,240,16.5,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,52,0,2,1,0,1,1,1,1,2,1
758,240,12,5,1032,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,1,1
2998,240,12,5,28800,1,3,4,0,65,0,-1,9,-1,-1,1,-10,0,1,3,0,1,1,1,1,2,1
3658,123,7.5,5,14718,1,0,3,0,65,0,-1,9,0,-1,2,-10,2,1,0,0,1,1,1,1,2,1
4139,240,16,5,28800,1,3,4,0,62,0,-1,9,-1,-1,1,-10,0,2,3,0,1,1,1,1,2,1
1327,140,10,5,2780,1,0,1,0,62,0,-1,9,-1,-1,1,-10,0,2,1,1,1,1,1,1,1,1
1088,216,12,5,25872,1,0,3,0,62,0,-1,9,-1,-1,1,-10,0,1,1,3,1,1,1,1,2,1
36824,142,5.5,5,16968,1,0,3,0,65,0,-1,9,-1,-1,1,52,0,1,1,0,1,1,1,1,2,1
3148,157,11.5,5,18750,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,2,1
1653,240,12,-1,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
868,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1658,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
4303,240,12,5,28800,1,3,4,0,62,0,-1,9,-1,-1,1,-10,0,1,3,0,1,1,1,1,0,1
724,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
2995,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1118,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
333,240,16,11,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
2015,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
1977,121,7.5,5,14456,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,2,1
1052,240,16,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,5,1,1,1,1,2,1
963,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
937,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1847,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1545,211,12,5,25318,1,0,3,0,65,0,-1,9,-1,-1,1,1,0,2,1,0,1,1,1,1,2,1
1108,240,12,-1,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
1035,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1044,240,16,5,28800,1,0,4,0,61,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1143,240,16,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
20955,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,1,0,2,1,0,1,1,1,1,2,1
2493,240,16,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
805,240,16,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,0,1
1013,240,12,5,28800,1,3,4,0,65,0,-1,9,-1,-1,1,-10,0,2,3,0,1,1,1,1,1,1
2587,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
973,182,10.5,-1,21834,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,1,1
1464,240,12,5,6060,1,0,4,0,62,1,0,20,-1,-1,1,-10,3,2,1,0,1,0,1,0,2,1
113,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,0,0,1,1,1,1,0,1
1548,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,1,1
194,240,12,-1,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,0,0,1,1,1,1,2,1
1025,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
2744,145,7.5,5,17294,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,2,1
1909,240,12,5,28800,1,3,4,0,65,0,-1,9,-1,-1,1,-10,0,1,3,0,1,1,1,1,2,1
1464,240,12,5,6060,1,0,4,0,62,1,0,20,-1,-1,1,-10,3,2,1,0,1,0,1,0,2,1
3278,3,1,-1,12,1,0,5,0,62,0,-1,9,-1,-1,1,-10,0,2,1,3,1,1,1,1,2,1
1651,240,12,5,872,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
7202,204,10.5,5,24376,1,0,3,0,65,0,-1,9,-1,-1,1,1,0,1,1,0,1,1,1,1,2,1
1528,240,12,-1,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
13273,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,1,0,2,1,0,1,1,1,1,2,1
2033,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,1,1
1376,218,12,5,26148,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,2,1
1505,5,1.5,-1,524,1,0,5,0,65,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,1,1
14175,31,3,-1,132,1,0,3,0,65,0,-1,9,-1,-1,1,52,0,2,1,0,1,1,1,1,1,1
3338,240,16,-1,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
2050,196,10.5,5,23502,1,0,3,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
652,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1058,240,16,-1,28800,1,3,4,0,65,0,-1,9,-1,-1,1,-10,0,1,3,0,1,1,1,1,1,1
985,11,1.5,-1,110,1,0,1,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,0,1
1314,240,16.5,5,1613,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1099,72,4.5,-1,8588,1,0,3,0,65,1,-1,9,-1,-1,1,-10,4,1,1,0,1,0,1,0,0,1
1246,240,12,5,898,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,0,0,1,1,1,1,2,1
1522,142,7.5,5,17014,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,2,1
15629,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,52,0,1,1,0,1,1,1,1,1,1
2585,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
1872,240,16.5,-1,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
1217,150,10.5,5,17892,1,0,3,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
4114,121,9,5,14484,1,3,1,0,62,0,-1,9,-1,-1,1,-10,0,1,3,1,1,1,1,1,2,1
6533,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1298,137,10,5,16432,1,0,1,0,62,0,-1,9,-1,-1,1,-10,0,2,1,1,1,1,1,1,2,1
763,240,16,5,28800,1,3,4,0,65,0,-1,9,-1,-1,1,-10,0,1,3,0,1,1,1,1,1,1
465,210,14,5,25174,1,0,1,0,62,0,-1,9,-1,-1,1,-10,0,2,1,1,1,1,1,1,2,1
2143,140,7.5,5,16746,1,3,3,0,65,0,-1,9,-1,-1,1,-10,0,2,3,0,1,1,1,1,2,1
2992,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1927,240,16,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
911,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
826,152,11,5,619,1,0,1,0,62,0,-1,9,-1,-1,1,-10,0,2,1,1,1,1,1,1,2,1
2048,48,3,5,5680,1,0,1,0,62,0,-1,9,0,-1,2,-10,2,2,1,0,1,1,1,1,2,1
2513,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
2575,240,16,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
2978,240,12,5,1365,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,1,1
2224,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,0,0,1,1,2,1
2360,240,12,5,884,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,1,1
47265,240,12,-1,17645,1,0,4,0,61,0,-1,9,-1,-1,1,52,0,2,1,0,1,1,1,1,1,1
525,67,4.5,-1,8020,1,0,3,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
2667,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
47,240,12,5,28800,1,0,4,0,65,1,0,20,-1,-1,1,-10,3,1,1,0,0,0,0,0,2,1
16439,136,10.5,5,1812,1,0,2,0,62,0,-1,9,-1,-1,1,52,0,2,1,0,1,1,1,1,2,1
34439,240,16,5,28784,1,0,4,0,61,0,-1,9,-1,-1,1,52,0,2,1,0,1,1,1,1,2,1
69,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
1453,204,14.5,5,24406,1,0,2,0,65,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,1,1
1092,240,16,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
2918,240,16.5,5,4996,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
2376,123,9.5,5,4689,1,0,3,0,61,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
2894,1,1.5,-1,109,1,0,1,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,0,1
1298,240,12,5,28800,1,0,4,0,65,1,-1,9,-1,-1,1,-10,3,2,1,0,1,0,1,0,2,1
1138,240,12,-1,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
3257,240,12,5,1281,1,3,4,0,62,0,-1,9,-1,-1,1,-10,0,2,3,0,1,1,1,1,0,1
2609,147,10.5,5,17528,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,1,1
1249,240,12,5,28800,1,3,4,0,65,0,-1,9,-1,-1,1,-10,0,1,3,0,1,1,1,1,2,1
934,131,9.5,5,15716,1,0,3,0,65,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
3526,240,16,5,3217,1,3,4,0,62,0,-1,9,-1,-1,1,-10,0,2,3,0,1,1,1,1,2,1
2554,201,14.5,5,24046,1,0,3,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
3858,240,16,5,2765,1,0,4,0,61,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1369,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
2594,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
697,240,16,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1488,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
833,206,14,5,24674,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,0,1
567,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
877,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1692,240,16.5,5,1828,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1724,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1794,240,16.5,5,28800,1,0,4,0,61,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
3398,240,16.5,-1,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
2179,240,16,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1108,240,16,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
1071,240,16.5,5,28800,1,0,4,0,65,0,-1,9,5,-1,1,-10,2,1,1,0,1,1,1,1,1,1
51,3,1.5,-1,282,1,2,5,0,65,0,-1,9,-1,-1,1,1,0,1,-1,0,1,1,1,1,2,1
1392,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1762,5,1.5,-1,641,1,0,1,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
775,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,1,0,1,1,0,1,1,1,1,0,1
1325,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
1252,215,15.5,5,3666,1,0,3,0,61,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
812,240,16,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
3556,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
2143,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,0,1
17002,240,12,5,28796,1,0,4,0,65,0,-1,9,-1,-1,1,52,0,1,1,0,1,1,1,1,2,1
2539,122,7.5,5,14534,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,0,1
1908,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
